,Return,epk_cluster0,0,1
84,-0.066,0.795413519926823,0.6913051439356874,0.8995218959179585
85,-0.065,0.794824912273863,0.6909765059500894,0.8986733185976366
86,-0.064,0.794251471732528,0.6906636445560052,0.8978392989090508
87,-0.063,0.793693214283757,0.6903666399103208,0.8970197886571933
88,-0.062,0.793150157282488,0.6900855729667709,0.8962147415982052
89,-0.061,0.792622319471218,0.6898205255023215,0.8954241134401144
90,-0.06,0.792109720993924,0.6895715801430776,0.8946478618447703
91,-0.059,0.791612383410348,0.6893388203896756,0.8938859464310204
92,-0.058,0.79113032971066,0.6891223306421368,0.8931383287791832
93,-0.057,0.790663584330501,0.6889221962241309,0.8924049724368711
94,-0.056,0.790212173166423,0.6887385034066191,0.8916858429262269
95,-0.055,0.78977612359173,0.6885713394308286,0.8909809077526314
96,-0.054,0.789355464472726,0.6884207925305055,0.8902901364149465
