,Return,epk_overall,0,1
85,-0.065,0.803429118086254,0.7144408106376887,0.8924174255348192
86,-0.064,0.80269683173196,0.714040501012669,0.8913531624512511
87,-0.063,0.801999584233789,0.713673271287379,0.890325897180199
88,-0.062,0.80133727036937,0.7133398716918156,0.8893346690469244
89,-0.061,0.800709793836401,0.7130410336860129,0.888378553986789
90,-0.06,0.800117067207469,0.7127774711712691,0.8874566632436689
91,-0.059,0.799559011890513,0.7125498816808016,0.8865681421002245
92,-0.058,0.799035558094913,0.7123589475452279,0.8857121686445981
93,-0.057,0.798546644803143,0.7122053370284414,0.8848879525778446
94,-0.056,0.798092219748003,0.712089705429667,0.8840947340663391
95,-0.055,0.797672239395387,0.7120126961475439,0.8833317826432301
96,-0.054,0.797286668932563,0.7119749417021211,0.8825983961630048
